tool,affiliate_strength,page_type,keyword,semrush_volume,semrush_kd,semrush_cpc,intent,source_count,priority_score
Mailchimp,weak,pricing,mailchimp pricing,9900,59,10.51,commercial,2,8910
Klaviyo,weak,pricing,klaviyo pricing,4400,35,19.25,transactional,3,5148
ManyChat,strong,offer,manychat discount code,2900,13,2.85,transactional,2,4901
Omnisend,strong,pricing,omnisend pricing,1900,34,6.78,transactional,3,3211
ManyChat,strong,pricing,manychat pricing,2400,37,2.65,commercial,3,3120
ManyChat,strong,offer,manychat discount,1600,8,0.00,transactional,1,2704
Mailchimp,weak,alternatives,mailchimp alternatives,2400,37,29.65,commercial,1,2160
Mailchimp,weak,pricing,mailchimp cost,2400,57,10.38,commercial,1,2160
Mailchimp,weak,comparison,mailchimp vs constant contact,1300,22,23.47,commercial,2,1170
Yotpo,strong,pricing,yotpo pricing,720,30,8.96,commercial,3,936
Postscript,strong,pricing,postscript pricing,480,12,0.53,commercial,3,624
Omnisend,strong,offer,omnisend free trial,320,22,0.00,transactional,2,541
Klaviyo,weak,pricing,klaviyo sms pricing,390,38,14.45,transactional,1,456
ManyChat,strong,offer,manychat coupon,260,11,4.88,transactional,1,439
Omnisend,strong,offer,omnisend discount,260,16,0.00,transactional,2,439
Yotpo,strong,pricing,yotpo cost,320,35,8.96,commercial,1,416
AdCreative.ai,strong,listing,best ai ad generator,590,67,11.63,informational,2,384
Omnisend,strong,offer,omnisend coupon,210,11,0.00,transactional,1,355
ManyChat,strong,alternatives,manychat alternatives,260,15,9.23,commercial,2,338
Yotpo,strong,comparison,yotpo vs bazaarvoice,260,26,35.52,commercial,1,338
Tidio,strong,pricing,tidio pricing,260,33,5.61,commercial,3,338
Yotpo,strong,other,yotpo loyalty,480,29,8.08,informational,1,312
Attentive,none,pricing,attentive pricing,480,28,33.41,commercial,1,288
ManyChat,strong,offer,manychat free plan,170,28,2.30,transactional,1,287
Tidio,strong,alternatives,tidio alternatives,210,14,14.60,commercial,2,273
Triple Whale,strong,pricing,triple whale pricing,210,20,18.50,commercial,3,273
Mailchimp,weak,alternatives,mailchimp alternative,590,45,29.65,informational,1,266
Yotpo,strong,other,yotpo integrations,390,32,9.75,informational,1,254
Mailchimp,weak,offer,mailchimp coupon,210,33,12.15,transactional,1,246
Mailchimp,weak,offer,mailchimp free trial,210,60,13.43,transactional,1,246
Mailchimp,weak,offer,mailchimp free plan limits,260,50,8.42,commercial,1,234
Omnisend,strong,alternatives,omnisend alternatives,170,16,18.17,commercial,1,221
Omnisend,strong,listing,best email marketing for shopify,170,27,13.56,commercial,1,221
Inventory Planner,weak,pricing,inventory planner pricing,210,24,37.10,commercial,3,189
Gorgias,weak,pricing,gorgias pricing,210,26,17.66,commercial,3,189
Omnisend,strong,offer,omnisend promo code,110,15,0.00,transactional,1,186
ManyChat,strong,offer,manychat free trial,110,26,9.73,transactional,2,186
Yotpo,strong,alternatives,yotpo alternatives,140,19,28.72,commercial,3,182
Mailchimp,weak,offer,mailchimp discount code,140,25,12.15,transactional,2,164
Klaviyo,weak,other,klaviyo for shopify,170,52,10.64,commercial,1,153
Omnisend,strong,offer,omnisend coupon code,90,9,0.00,transactional,1,152
Mailchimp,weak,comparison,mailchimp vs activecampaign,320,26,28.76,informational,1,144
Triple Whale,strong,comparison,triple whale vs hyros,110,2,28.50,commercial,1,143
Recharge,strong,pricing,recharge pricing,110,18,23.27,commercial,1,143
ManyChat,strong,pricing,manychat cost,110,34,1.89,commercial,1,143
Klaviyo,weak,offer,klaviyo coupon code,110,20,39.92,transactional,1,129
Klaviyo,weak,comparison,klaviyo vs activecampaign,140,16,25.08,commercial,2,126
Gorgias,weak,comparison,gorgias vs zendesk,140,22,66.55,commercial,2,126
Rebuy,weak,listing,best upsell app for shopify,140,27,6.43,commercial,1,126
Triple Whale,strong,offer,triple whale discount code,70,0,8.30,transactional,1,118
AfterShip,strong,pricing,aftership pricing,90,33,7.21,commercial,3,117
Postscript,strong,listing,best sms marketing app for shopify,90,38,22.06,commercial,1,117
Klaviyo,weak,comparison,klaviyo vs mailchimp for shopify,110,17,0.00,commercial,1,99
Mailchimp,weak,listing,best email marketing app for shopify,110,41,11.81,commercial,1,99
